"","Functional_groupFern","Functional_groupForb","Functional_groupLegume","Functional_groupWoody"
"Functional_groupFern",0.490272260773846,0.11868454314819,0.116303576933434,0.128741447174288
"Functional_groupForb",0.11868454314819,0.132725105275314,0.121042597713909,0.125262838384095
"Functional_groupLegume",0.116303576933434,0.121042597713909,0.217816818338943,0.131072118114148
"Functional_groupWoody",0.128741447174288,0.125262838384095,0.131072118114148,0.196921593637071
