"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","4.6197","4.1765","5.0536","1000.0000","0.0010"
"AnnPerAnn","-0.1380","-0.2703","0.0043","1188.3374","0.0560"
"Functional_groupFern","-0.1127","-0.5410","0.3556","1000.0000","0.6000"
"Functional_groupForb","-0.0879","-0.3087","0.1793","1106.4845","0.3780"
"Functional_groupLegume","-0.0650","-0.3307","0.3032","860.8955","0.6160"
"Functional_groupWoody","0.0991","-0.2964","0.4466","1000.0000","0.5520"
"Transplant.Date","0.0034","0.0008","0.0060","1000.0000","0.0160"
