"","Response","Variable","Posterior Mode","lowerHPD","upperHPD"
"1","Days to flower","Host_Species",0.0207502560229669,0.000309838049392514,0.0345192264188406
"2","Days to flower","animal",0.00153904105622606,2.93280219413381e-08,0.190569369094888
"3","Days to flower","units",0.0511835928779726,0.0424293585003403,0.0578872005380013
