"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","23.2312","8.1540","39.1510","1000.0000","0.0100"
"AnnPerAnn","0.1978","-2.6891","2.9426","1000.0000","0.8880"
"Functional_groupFern","-5.6783","-22.1480","11.5899","1000.0000","0.4620"
"Functional_groupForb","-5.1135","-13.5224","3.1502","1000.0000","0.1980"
"Functional_groupLegume","0.0036","-10.0388","9.9674","1095.1202","0.9800"
"Functional_groupWoody","-10.2797","-21.6032","0.1729","1280.3226","0.0660"
