"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",0.924564876779045,0.16789577245072,1.63881179581222,999.999999999999,0.018
"PopulationM1768",0.424827257869695,-0.248534497115543,1.09093972033224,1000,0.212
"PopulationM1769",-0.371900069854658,-1.00587117774012,0.375122033168736,840.232710895397,0.278
