Unique_ID,Height_end_season,Reproductive_nodes,Main_stem_damaged
A237,8.7,2,0
A453,27.4,2,0
A234,44,4,0
A1123,17,1,0
A405,37.2,2,0
A251,12.4,1,0
A224,57.8,2,1
A226,16.9,1,0
A1125,86.4,10,1
A260,81.1,9,0
A1096,23.9,2,0
A445,31.4,1,0
A1561,19.5,2,0
A228,46.3,3,0
A239,53.4,2,1
A1548,56,9,0
A110,24.1,1,1
A1160,-,1,0
A1529,23.6,1,0
A1072,43.2,2,0
A1905,44,5,0
A105,9.4,1,0
A235,14.9,3,0
A1086,61,4,0
A1454,49.7,3,0
A634,83.5,5,0
A1057,77,8,0
A1134,42.8,3,0
A745,12,1,0
A1306,16,1,0
A1310,11,1,0
A738,18,1,0
A1304,16,1,0
A1977,11,1,0
A569,20,1,0
A874,17,1,0
A962,14,1,0
A12,16,2,1
A727,9,1,0
A886,2,3,0
A581,14,1,0
A191,42,2,0
A1346,11,1,0
A1645,15,2,1
A991,29,1,0
A700,15,1,1
A933,21,1,0
A1850,174,62,0
A946,12,18,0
A1342,136,17,0
A1336,42,4,0
A1472,26,1,0
A1473,23,1,0
A352,36,2,0
A1764,28,2,0
A892,33,5,0
A957,90,16,0
A729,9,1,0
A912,39,5,0
A3,14,1,0
A326,43,2,0
A1892,29,1,0
A362,47,3,0
A201,32,1,0
A339,22,1,0
A1015,106,27,0
A1370,16,1,0
A1439,28,3,0
A494,12,1,0
A503,42,5,0
A1510,9,1,0
A1943,32,2,0
A819,18,1,0
A1404,25,1,0
A324,18,1,0
A1,16,1,0
A520,12,1,0
A1451,80,9,0
A562,166,43,0
A30,11,1,0
A1464,4,1,0
A821,31,2,0
A378,126,36,0
A368,59,4,0
A561,112,21,0
A920,100,22,0
A917,188,34,0
A919,110,11,0
A212,43,6,0
A5,13,1,0
A1448,43,6,0
A523,23,2,0
A363,173,20,0
A58,105,26,0
A859,23,1,0
A1440,117,20,0
A20,199,39,0
A585,47,4,0
A825,49,5,0
A772,181,23,0
A783,144,15,0
A393,6,8,0
A522,5,1,0
A350,29,2,0
A1649,22,2,0
A968,23,1,0
A1763,31,5,1
A534,23,1,0
A184,25,6,0
A578,18,1,0
A834,26,2,0
A376,123,66,0
A1859,9,1,0
A732,64,6,0
A1956,42,1,0
A947,44,7,1
A1307,20,1,0
A955,24,3,0
A1376,23,3,0
A495,20,1,0
A27,85,16,0
A357,14,1,0
A1007,26,1,0
A4,50,3,0
A1754,71,6,0
A517,19,1,0
A971,65,13,0
A734,76,6,0
A238,13,1,0
A91,25,2,0
A565,86,18,0
A1863,46,4,0
A1727,32,2,0
A329,84,5,0
A726,71,4,0
A718,85,6,0
A1986,40,3,0
A539,42,2,0
A758,63,8,0
A516,39,2,0
A1320,50,4,0
A856,35,3,0
A846,47,3,0
A1381,34,1,0
A728,43,2,0
A1640,24,2,0
A1945,27,2,0
A490,26,2,0
A885,24,6,0
A2008,17,1,0
A525,36,3,0
A722,11,1,0
A1571,4,1,0
A838,22,1,0
A1401,29,4,0
A1701,8,1,0
A388,19,1,0
A1632,86,9,0
A400,15,1,0
A1338,66,5,0
A40,61,4,0
A740,15,1,0
A1975,196,136,0
A496,142,13,0
A782,202,76,0
A1744,172,91,0
A921,176,50,0
A1563,114,56,0
A904,29,4,0
A223,111,14,0
A393,61,5,0
A774,75,7,0
A860,119,17,0
A807,105,8,0
A1310,106,12,0
A1646,57,10,0
A1391,45,8,0
A358,139,11,0
A1411,52,5,0
A944,51,16,1
A871,68,12,0
A176,66,3,1
A580,53,13,0
A808,23,2,0
A1713,9,1,0
A949,33,7,0
A34,43,2,0
A800,57,5,0
A1315,76,6,0
A908,43,5,0
A371,67,4,0
A1092,41,4,0
A245,33,3,0
A1554,61,7,0
A1887,76,9,0
A1908,11,1,0
A1516,13,1,0
A718,49,3,0
A1084,39,2,0
A1498,54,5,0
A1139,35,3,0
A518,111,11,0
A366,128,10,0
A757,180,17,0
A218,30,3,0
A206,35,2,0
A529,100,8,0
A1855,108,15,0
A1651,82,15,0
A1019,113,90,0
A596,70,9,0
A1085,113,34,0
A1499,13,1,0
A193,57,13,0
A872,70,11,0
A203,72,16,0
A18,159,15,0
A701,120,11,0
A1673,116,18,0
A1680,90,10,0
A1854,55,24,0
A181,143,13,0
A179,100,8,0
A775,110,11,0
A419,52,7,0
A873,80,10,0
A1065,105,32,0
A776,61,6,0
A1857,54,7,0
A588,19,2,0
A1737,85,14,0
A489,75,6,0
A1000,35,5,0
A1747,60,18,0
A882,120,16,0
A1647,70,8,0
A708,115,11,0
A1448,25,2,0
A1862,59,8,0
A388,70,5,0
A1294,130,15,0
A1453,130,23,0
A1505,150,21,0
A1506,90,11,0
A240,91,11,0
A996,123,24,0
A1749,135,26,0
A1481,44,4,0
A220,52,25,0
A1343,90,11,0
A1452,135,15,0
A869,100,24,0
A765,170,16,0
A1299,128,21,0
A532,90,16,0
A2000,60,10,0
A1750,69,11,0
A1293,95,3,0
A1280,82,9,0
A731,105,8,0
A864,45,6,0
A1339,54,5,0
A1327,15,1,0
A1308,29,3,0
A533,56,6,0
A77,30,2,0
A1730,53,4,0
A1891,15,2,0
A1526,46,11,0
A29,31,2,0
A1276,80,7,0
A13,47,4,0
A835,35,2,0
A815,36,2,0
A418,51,6,0
A498,96,7,0
A1130,10,2,0
A709,65,5,0
A1867,79,10,0
A2005,95,11,0
A1708,29,4,0
A1154,10,2,0
A397,70,7,0
A737,94,6,0
A1337,55,7,0
A553,36,6,0
A596,41,9,0
A628,29,1,0
A1330,43,4,0
A1009,30,1,0
A554,40,4,0
A1021,27,2,0
A369,100,11,0
A868,42,5,0
A1331,44,4,0
A1394,38,5,0
A575,40,5,0
A49,87,13,0
A395,51,3,0
A1985,74,10,0
A401,22,1,0
A884,40,6,0
A715,70,10,0
A1860,79,10,0
A880,57,11,0
A2039,35,3,0
A214,34,9,0
A1291,95,14,0
A813,62,4,0
A1341,70,8,0
A434,40,3,0
A500,149,22,0
A1295,12,11,0
A364,170,35,0
A982,26,2,0
A945,90,21,0
A1019,55,5,0
A918,53,6,0
A590,40,4,0
A421,150,23,0
A1478,109,13,0
A452,110,18,0
A914,79,9,0
A1088,30,3,0
A967,74,12,0
A17,155,14,0
A19,129,29,0
A535,45,5,0
A950,25,5,0
A360,40,2,0
A355,35,2,0
A80,90,7,0
A1287,25,1,0
A1312,28,2,0
A36,47,4,0
A33,69,5,0
A801,45,2,0
A68,45,6,0
A1882,100,25,0
A805,75,7,0
A450,88,24,1
A196,76,16,0
