Unique ID,Leaf collected,Indumentum,Flower colour,Purple flushed,Node,Flower date,Height,Corolla size,Teeth,Branches,Leaf length,Internode length,Cauline ratio,Aborted node,Leaf circularity index,Capsule length,Capsule width,Calyx length,Calyx ratio,Notes
A91,0,0,W,1,6,14/07/2018,26.1,5.3,2,0,2.8,8.7,3.107142857,,,,,,,
A211,1,1,W,0,9,14/07/2018,14.3,8.2,3,0,5.4,1.2,0.222222222,,,,,,,
A1960,0,0,V,0,7,14/07/2018,56.1,6.5,4,3,5.6,5.6,1,,,,,,,
A447,0,0,W,1,10,15/07/2018,37.8,4.3,2,0,3.1,5.3,1.709677419,,,,,,,
A768,0,1,W,1,9,13/07/2018,47.8,6.2,5,2,7.6,7,0.921052632,,,,,,,
A1100,0,0,V,1,8,14/07/2018,15.2,5.3,1,0,1.6,1.8,1.125,,,,,,,
B1614,1,1,W,0,6,13/07/2018,33,9,3,0,5.3,8.8,1.660377358,,,,,,,
B136,1,1,W,0,8,14/07/2018,23.9,8.2,4,0,7.3,2,0.273972603,,,,,,,
B2055,1,1,W,0,7,15/07/2018,33.9,9.3,4,0,5,3.4,0.68,,,,,,,
B1234,1,1,W,0,9,13/07/2018,31.4,8.4,4,1,7.1,4,0.563380282,,,,,,,
B661,1,1,W,0,8,15/07/2018,29.7,8.9,3,0,3.9,3.3,0.846153846,,,,,,,
A1009,0,1,W,0,8,13/07/2018,17.6,7.8,4,0,5,1.9,0.38,,,,,,,
A193,0,1,W,0,11,14/07/2018,24.1,8,3,4,5.4,2.1,0.388888889,,,,,,,
A111,0,0,W,1,7,13/07/2018,38.4,4.6,3,0,4.5,14.6,3.244444444,,,,,,,
A911,0,1,W,0,7,14/07/2018,26.9,8.6,5,2,7,3.2,0.457142857,,,,,,,
A865,0,1,W,0,7,15/07/2018,13.2,5.8,2,0,4.1,1.5,0.365853659,,,,,,,
B459,1,1,W,0,8,14/07/2018,24,7.5,4,0,4.7,2.9,0.617021277,,,,,,,
A599,0,0,V,0,6,14/07/2018,7.7,3.8,1,0,1.5,0.4,0.266666667,,,,,,,
B1842,1,1,W,0,7,15/07/2018,28.6,6.3,3,0,4.8,3.2,0.666666667,,,,,,,
A922,0,1,W,0,9,14/07/2018,21,7.8,3,2,5.5,2.2,0.4,,,,,,,
A70,0,1,W,0,10,14/07/2018,35.6,7.8,4,7,8.4,6.8,0.80952381,,,,,,,
B1840,1,1,W,0,10,15/07/2018,36.3,6.4,4,2,6.2,3.2,0.516129032,,,,,,,
A773,0,1,V,0,9,14/07/2018,70.3,7.2,4,3,8.8,11.3,1.284090909,,,,,,,
A220,0,1,W,0,8,14/07/2018,24.5,7.4,4,1,6.5,3.3,0.507692308,,,,,,,
B151,1,1,W,0,7,15/07/2018,16.4,7.3,3,0,4,1.6,0.4,,,,,,,
B156,1,1,W,0,8,15/07/2018,20.6,6.2,3,0,3.5,1.8,0.514285714,,,,,,,
A775,0,1,W,1,10,16/07/2018,48.7,5.7,5,0,5.4,6.2,1.148148148,,,,,,,
A112,0,0,W,1,8,16/07/2018,23.1,5.6,2,0,2.4,7.4,3.083333333,,,,,,,
A259,0,0,W,0,7,16/07/2018,28.6,4.8,2,0,3.3,8,2.424242424,,,,,,,
A1854,0,1,W,0,8,16/07/2018,17.6,9.1,4,1,6.9,1.7,0.246376812,,,,,,,
B1230,1,1,W,0,9,16/07/2018,35.2,8.4,3,0,4.9,4.6,0.93877551,8,,,,,,
B1225,1,1,W,0,8,16/07/2018,30.1,8.9,4,0,6.6,3.8,0.575757576,,,,,,,
