"","Germ_date","Trans_date","Unique_ID","Host_code","Population","Euphrasia_sp","Leaf collected","Indumentum","Flower colour","Purple flushed","Node","Flower date","Height","Corolla size","Teeth","Branches","Leaf length","Internode length","Cauline ratio","Euphrasia_sp2","Population2"
"12","10/04/2018","19/04/2018","B301","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-10,38.5,"8.6","4","1","8.9","10","1.123595506","Euphrasia montana","M1787"
"13","10/04/2018","19/04/2018","B287","PLA","R1765","Euphrasia rostkoviana",1,1,"W","0","6",2018-06-13,23.9,"7.2","5","0","6.1","3","0.491803279","Euphrasia rostkoviana","R1765"
"14","09/04/2018","19/04/2018","A116","LCO","M1769","Euphrasia micrantha",0,0,"W","1","5",2018-06-13,23.3,"5.3","3","0","3.5","3.4","0.971428571","Euphrasia micrantha","M1769"
"15","11/04/2018","23/04/2018","B456","PLA","R1765","Euphrasia rostkoviana",1,0,"W","0","5",2018-06-14,12.5,"5","3","0","4","1.1","0.275","Euphrasia rostkoviana","R1765"
"16","10/04/2018","19/04/2018","B298","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-12,41.9,"9.4","3","0","7","9.4","1.342857143","Euphrasia montana","M1787"
"17","11/04/2018","23/04/2018","B469","PLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-12,68.3,"10.4","4","0","9.6","18.6","1.9375","Euphrasia montana","M1787"
"18","25/04/2018","02/05/2018","B1790","HLA","M1787","Euphrasia montana",1,1,"W","0","4",2018-06-13,33.8,"7","5","0","8","5.8","0.725","Euphrasia montana","M1787"
"19","30/04/2018","02/05/2018","B1911","HLA","M1787","Euphrasia montana",1,1,"W","0","4",2018-06-13,46.9,"8.2","5","0","10.3","10.6","1.029126214","Euphrasia montana","M1787"
"20","11/04/2018","23/04/2018","B472","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-12,54.5,"7.7","5","0","8.4","15.9","1.892857143","Euphrasia montana","M1787"
"21","25/04/2018","02/05/2018","B1784","HLA","M1787","Euphrasia montana",1,1,"W","0","6",2018-06-12,74.8,"9.7","6","3","15.7","15.2","0.968152866","Euphrasia montana","M1787"
"22","09/04/2018","19/04/2018","B144","HLA","M1787","Euphrasia montana",1,1,"V","0","5",2018-06-13,60.8,"9.4","4","1","9.4","15.5","1.64893617","Euphrasia montana","M1787"
"23","09/04/2018","19/04/2018","B147","HLA","M1787","Euphrasia montana",1,1,"V","0","6",2018-06-13,69.3,"10.5","5","0","7.8","14.3","1.833333333","Euphrasia montana","M1787"
"24","10/04/2018","19/04/2018","B295","HLA","M1787","Euphrasia montana",1,1,"V","0","5",2018-06-12,71.6,"10.9","4","0","8","16.2","2.025","Euphrasia montana","M1787"
"25","13/04/2018","24/04/2018","B679","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-13,50.5,"10.9","4","0","7.9","11.8","1.493670886","Euphrasia montana","M1787"
"26","25/04/2018","02/05/2018","B1783","HLA","M1787","Euphrasia montana",1,1,"W","0","4",2018-06-12,89.4,"12.1","4","1","12.2","28.5","2.336065574","Euphrasia montana","M1787"
"27","09/04/2018","19/04/2018","B137","HLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-13,58.8,"9.6","5","1","9.7","14.5","1.494845361","Euphrasia montana","M1787"
"28","13/04/2018","24/04/2018","B686","PLA","M1787","Euphrasia montana",1,1,"W","0","5",2018-06-13,16.9,"8.7","4","0","4.7","1.8","0.382978723","Euphrasia montana","M1787"
