"","Species","E.tetraquetra.1","E.tetraquetra.2","E.tetraquetra.3","E.tetraquetra.4","E.tetraquetra.5","E.tetraquetra.6","E.tetraquetra.7","E.tetraquetra.8","E.tetraquetra.9","E.tetraquetra.10","E.tetraquetra.11","E.tetraquetra.12","E.tetraquetra.13","E.tetraquetra.14","E.tetraquetra.15","E.tetraquetra.16","E.tetraquetra.17","E.tetraquetra.18","E.tetraquetra.19","E.tetraquetra.20","E.tetraquetra.21","E.tetraquetra.22","E.tetraquetra.23","E.tetraquetra.24","E.tetraquetra.25","E.vigursii.1","E.vigursii.2","E.vigursii.3","E.vigursii.4","E.vigursii.5","E.vigursii.6","E.vigursii.7","E.vigursii.8","E.vigursii.9","E.vigursii.10","E.vigursii.11","E.vigursii.12","E.vigursii.13","E.vigursii.14","E.vigursii.15","E.vigursii.16","E.vigursii.17","E.vigursii.18","E.vigursii.19","E.vigursii.20","E.vigursii.21","E.vigursii.22","E.vigursii.23","E.vigursii.24","E.vigursii.25","E.anglica.1","E.anglica.2","E.anglica.3","E.anglica.4","E.anglica.5","E.anglica.6","E.anglica.7","E.anglica.8","E.anglica.9","E.anglica.10","E.anglica.11","E.anglica.12","E.anglica.13","E.anglica.14","E.anglica.15","E.anglica.16","E.anglica.17","E.anglica.18","E.anglica.19","E.anglica.20","E.anglica.21","E.anglica.22","E.anglica.23","E.anglica.24","E.anglica.25","E.micrantha.1","E.micrantha.2","E.micrantha.3","E.micrantha.4","E.micrantha.5","E.micrantha.6","E.micrantha.7","E.micrantha.8","E.micrantha.9","E.micrantha.10","E.micrantha.11","E.micrantha.12","E.micrantha.13","E.micrantha.14","E.micrantha.15"
"39","Leontodon_hispidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Leontodon_saxatilis",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Lolium_perenne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Lotus_corniculatus",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Luzula_campestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Nodes",3,0,0,0,0,3,0,3,3,7,6,8,11,11,5,8,12,9,14,10,9,7,8,46,39,11,8,11,6,28,3,15,4,26,5,15,12,7,25,3,23,14,25,16,34,32,22,14,10,6,12,10,51,38,7,8,20,3,18,16,8,1,8,10,19,15,4,26,15,21,13,35,20,3,6,7,16,6,12,3,3,3,15,12,34,4,14,10,19,12
"45","Pedicularis_sylvatica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Pilosella_officinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"47","Plantago_lanceolata",0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Plantago_maritima",0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
