"","HOST_CODE.rn","HOST_CODE.Df","HOST_CODE.AIC","HOST_CODE.BIC","HOST_CODE.logLik","HOST_CODE.deviance","HOST_CODE.Chisq","HOST_CODE.Chi Df","HOST_CODE.Pr(>Chisq)","HOST_GIVEN_POPULATION.rn","HOST_GIVEN_POPULATION.Df","HOST_GIVEN_POPULATION.AIC","HOST_GIVEN_POPULATION.BIC","HOST_GIVEN_POPULATION.logLik","HOST_GIVEN_POPULATION.deviance","HOST_GIVEN_POPULATION.Chisq","HOST_GIVEN_POPULATION.Chi Df","HOST_GIVEN_POPULATION.Pr(>Chisq)"
"1","manysp.5LR2",4,1155.9862951945,1168.48215111211,-573.99314759725,1147.9862951945,NA,NA,NA,"manysp.5LR3",4,1158.67975272551,1171.17560864313,-575.339876362757,1150.67975272551,NA,NA,NA
"2","manysp.5LR1",5,1157.32198566178,1172.9418055588,-573.66099283089,1147.32198566178,0.664309532719471,1,0.415042626270471,"manysp.5LR1",5,1157.32198566178,1172.9418055588,-573.66099283089,1147.32198566178,3.35776706373417,1,0.0668887078018679
