"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",1.82552165904037,1.26118700085499,2.36791730452387,1000,0.001
"PopulationA1766",0.224224533807194,-0.47330126183806,0.823878521710867,1000,0.474
