"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","-0.4637","-9.8823","9.4058","1093.7327","0.9240"
"AnnPerAnn","-0.3610","-2.9028","2.1730","886.5257","0.7720"
"Functional_groupFern","-3.6600","-15.1134","6.8501","1000.0000","0.4660"
"Functional_groupForb","-2.9965","-8.8016","2.1653","1097.9740","0.2340"
"Functional_groupLegume","-2.0488","-9.1675","4.6899","1000.0000","0.5500"
"Functional_groupWoody","-7.5786","-14.1020","-1.0165","633.3565","0.0100"
"Transplant.Date","-0.0762","-0.0945","-0.0570","1000.0000","0.0010"
