"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","1.7842","1.2210","2.2714","787.7612","0.0010"
"Euphrasia_sp2Euphrasia micrantha","-1.2795","-1.7479","-0.8284","1000.0000","0.0010"
"Euphrasia_sp2Euphrasia tetraquetra","-0.3702","-0.8160","-0.0076","873.2641","0.0620"
"Euphrasia_sp2Euphrasia vigursii","-0.2457","-0.7758","0.2138","1000.0000","0.3340"
"PopulationM1767","0.3269","-0.2098","0.9299","846.7382","0.2760"
"PopulationM1768","0.7931","0.4788","1.0699","1000.0000","0.0010"
"Norm_Trans_date","0.0059","-0.0084","0.0237","1207.7299","0.4820"
