"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",1.43419169979186,0.827876718016341,2.03626304265345,999.999999999999,0.001
"Euphrasia_sp2Euphrasia vigursii",0.209824167891678,-0.191882786934002,0.630453987247165,1000,0.26
