"","HOST_CODE.rn","HOST_CODE.Df","HOST_CODE.AIC","HOST_CODE.BIC","HOST_CODE.logLik","HOST_CODE.deviance","HOST_CODE.Chisq","HOST_CODE.Chi Df","HOST_CODE.Pr(>Chisq)","HOST_GIVEN_EUPHRASIA.rn","HOST_GIVEN_EUPHRASIA.Df","HOST_GIVEN_EUPHRASIA.AIC","HOST_GIVEN_EUPHRASIA.BIC","HOST_GIVEN_EUPHRASIA.logLik","HOST_GIVEN_EUPHRASIA.deviance","HOST_GIVEN_EUPHRASIA.Chisq","HOST_GIVEN_EUPHRASIA.Chi Df","HOST_GIVEN_EUPHRASIA.Pr(>Chisq)"
"1","manysp.3LR2",3,1619.34680181621,1629.9469702824,-806.673400908106,1613.34680181621,NA,NA,NA,"manysp.3LR3",3,1608.1262893517,1618.72645781788,-801.063144675848,1602.1262893517,NA,NA,NA
"2","manysp.3LR1",4,1609.90544857418,1624.03900652909,-800.952724287092,1601.90544857418,11.441353242029,1,0.000718274613534906,"manysp.3LR1",4,1609.90544857418,1624.03900652909,-800.952724287092,1601.90544857418,0.220840777511512,1,0.638400033531288
